"filename", "language", "PHP", "CSS", "JavaScript", "comment", "blank", "total"
"c:\OSPanel\domains\Konkurs\about.php", "PHP", 163, 0, 0, 0, 8, 171
"c:\OSPanel\domains\Konkurs\addCompetition.php", "PHP", 281, 0, 0, 9, 21, 311
"c:\OSPanel\domains\Konkurs\adminPageCompetitions.php", "PHP", 145, 0, 0, 3, 12, 160
"c:\OSPanel\domains\Konkurs\adminPageWorks.php", "PHP", 135, 0, 0, 3, 10, 148
"c:\OSPanel\domains\Konkurs\application.php", "PHP", 93, 0, 0, 1, 11, 105
"c:\OSPanel\domains\Konkurs\assets\style.css", "CSS", 0, 17, 0, 0, 2, 19
"c:\OSPanel\domains\Konkurs\competitionPages\competition1.php", "PHP", 190, 0, 0, 4, 7, 201
"c:\OSPanel\domains\Konkurs\competitionPages\competition2.php", "PHP", 190, 0, 0, 4, 6, 200
"c:\OSPanel\domains\Konkurs\competitionPages\competition3.php", "PHP", 189, 0, 0, 4, 7, 200
"c:\OSPanel\domains\Konkurs\competitionPages\competition4.php", "PHP", 78, 0, 0, 0, 0, 78
"c:\OSPanel\domains\Konkurs\database.php", "PHP", 9, 0, 0, 0, 1, 10
"c:\OSPanel\domains\Konkurs\index.php", "PHP", 352, 0, 0, 1, 46, 399
"c:\OSPanel\domains\Konkurs\public\logForm.php", "PHP", 55, 0, 0, 0, 0, 55
"c:\OSPanel\domains\Konkurs\public\logout.php", "PHP", 4, 0, 0, 0, 1, 5
"c:\OSPanel\domains\Konkurs\public\regForm.php", "PHP", 88, 0, 0, 0, 6, 94
"c:\OSPanel\domains\Konkurs\scripts\main.js", "JavaScript", 0, 0, 11, 4, 4, 19
"Total", "-", 1972, 17, 11, 33, 142, 2175