"filename", "language", "PHP", "CSS", "HTML", "comment", "blank", "total"
"c:\OSPanel\domains\Konkurs\about.php", "PHP", 1, 0, 0, 0, 0, 1
"c:\OSPanel\domains\Konkurs\addCompetition.php", "PHP", 12, 0, 0, -2, 3, 13
"c:\OSPanel\domains\Konkurs\adminPageCompetitions.php", "PHP", 14, 0, 0, 5, 4, 23
"c:\OSPanel\domains\Konkurs\adminPageWorks.php", "PHP", 23, 0, 0, 0, 2, 25
"c:\OSPanel\domains\Konkurs\allCompetitions.php", "PHP", 231, 0, 0, 1, 11, 243
"c:\OSPanel\domains\Konkurs\application.php", "PHP", 20, 0, 0, 0, 1, 21
"c:\OSPanel\domains\Konkurs\assets\style.css", "CSS", 0, 5, 0, 0, -1, 4
"c:\OSPanel\domains\Konkurs\competitionPages\competition1.php", "PHP", 0, 0, 0, -4, 1, -3
"c:\OSPanel\domains\Konkurs\competitionPages\competition2.php", "PHP", -1, 0, 0, -3, 0, -4
"c:\OSPanel\domains\Konkurs\competitionPages\competition3.php", "PHP", -1, 0, 0, -3, 0, -4
"c:\OSPanel\domains\Konkurs\competitionPages\competition4.php", "PHP", -50, 0, 0, 0, 0, -50
"c:\OSPanel\domains\Konkurs\index.php", "PHP", 0, 0, 0, 0, -24, -24
"c:\OSPanel\domains\Konkurs\test.html", "HTML", 0, 0, 40, 0, 3, 43
"c:\OSPanel\domains\Konkurs\updateCompetition.php", "PHP", 177, 0, 0, 6, 12, 195
"Total", "-", 426, 5, 40, 0, 12, 483